town_code,town_name,population,size,region,coastal,work_town_code,work_town_name,work_town_size,job_density,income,university,perc_age_35_to_64_l4,pop_in_ks4,perc_age_18_l2,perc_age_18_l3,perc_age_19_full_time_higher_ed,perc_age_19_sustained_further_ed,perc_age_19_apprenticeships,perc_age_19_sustained_emp_over_0,perc_age_19_sustained_emp_over_10000,perc_age_22_l1_to_l2,perc_age_22_l3_to_l5,perc_age_22_l6_to_l8,avg_level_age_22,education_score
E34003541,Ramsey (Huntingdonshire) BUA,7829,Small Towns,East of England,Non-coastal,E30000221,Huntingdon,Majority rural,Residential,Mid deprivation towns,No university,Medium,97,67.01030928,45.36082474,30.92783505,11.34020619,NA,51.54639175,28.86597938,34.7,37.8,25.5,3.319587629,-0.687678695
E34003553,Wantage BUA,18505,Small Towns,South East,Non-coastal,E30000250,Oxford,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,233,87.55364807,50.21459227,30.04291845,12.01716738,7.725321888,52.78969957,28.32618026,28.9,45.3,23.7,3.35193133,1.21344731
E34003561,East Leake BUA,6337,Small Towns,East Midlands,Non-coastal,E30000249,Nottingham,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,70,91.42857143,61.42857143,42.85714286,20,NA,54.28571429,27.14285714,16.7,48.6,34.7,3.871428571,4.370325265
E34003562,Askern BUA,5570,Small Towns,Yorkshire and The Humber,Non-coastal,E30000201,Doncaster,Majority conurbation,Residential,Higher deprivation towns,No university,Low,50,76,42,20,20,NA,44,30,37.3,39.2,NA,3.02,-5.129770739
E34003565,Long Sutton (South Holland) BUA,5161,Small Towns,East Midlands,Non-coastal,E30000124,Spalding,Majority rural,Mixed,Mid deprivation towns,No university,Low,50,80,44,20,20,NA,44,24,28,52,NA,3.32,-2.660142264
E34003566,Battle BUA,6054,Small Towns,South East,Non-coastal,E30000061,Hastings,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,86,93.02325581,60.46511628,46.51162791,11.62790698,NA,37.20930233,15.11627907,14,48.8,34.9,3.813953488,3.50519266
E34003574,New Ollerton BUA,9840,Small Towns,East Midlands,Non-coastal,E30000240,Mansfield,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,127,71.65354331,16.53543307,7.874015748,29.13385827,21.25984252,51.96850394,30.70866142,48.8,39.5,NA,2.566929134,-9.394098568
E34003596,Uttoxeter BUA,13089,Small Towns,West Midlands,Non-coastal,E30000273,Stoke-on-Trent,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Low,181,82.87292818,44.75138122,33.14917127,14.91712707,9.944751381,59.66850829,33.14917127,29.3,39.2,30.4,3.508287293,-0.665013634
E34003597,Bircotes BUA,7948,Small Towns,East Midlands,Non-coastal,E30000291,Worksop and Retford,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,98,76.53061224,29.59183673,20.40816327,22.44897959,12.24489796,42.85714286,27.55102041,47.4,32,NA,3.204081633,-5.142988334
E34003606,North Walsham BUA,12463,Small Towns,East of England,Non-coastal,E30000248,Norwich,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,139,81.29496403,41.72661871,17.98561151,23.74100719,17.26618705,47.48201439,33.09352518,29.5,54.7,NA,3.021582734,-5.847621161
E34003628,Seaton (East Devon) BUA,8413,Small Towns,South West,Coastal,E30000263,Sidmouth,Majority rural,Mixed,Mid deprivation towns,No university,Medium,92,79.34782609,51.08695652,38.04347826,13.04347826,NA,58.69565217,26.08695652,25,39.1,32.6,3.608695652,1.769499553
E34003657,Stotfold BUA,6838,Small Towns,East of England,Non-coastal,E30000272,Stevenage and Welwyn Garden City,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,81,86.41975309,55.55555556,37.03703704,NA,NA,56.79012346,29.62962963,23.8,40,31.3,3.543209877,0.667754595
E34003678,Shepshed BUA,13505,Small Towns,East Midlands,Non-coastal,E30000230,Leicester,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Low,134,79.85074627,37.31343284,29.85074627,27.6119403,14.92537313,53.73134328,32.8358209,37.5,29.4,29.4,3.343283582,-4.193792492
E34003679,Clacton-on-Sea BUA,50548,Medium Towns,East of England,Coastal,E30000192,Clacton,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,582,86.23063683,38.55421687,19.75945017,20.6185567,13.05841924,47.93814433,24.22680412,40,39.7,16.4,2.967353952,-4.441538623
E34003687,Whitby BUA,13213,Small Towns,Yorkshire and The Humber,Coastal,E30000147,Whitby,Majority town and city (small),Working,Higher deprivation towns,No university,Low,130,83.07692308,43.84615385,34.61538462,20,13.07692308,57.69230769,19.23076923,29.7,42.2,27.3,3.523076923,0.232283025
E34003707,Ashbourne BUA,8377,Small Towns,East Midlands,Non-coastal,E30000200,Derby,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,101,86.13861386,58.41584158,44.55445545,14.85148515,12.87128713,49.5049505,27.72277228,24.8,34.7,39.6,3.871287129,1.924015748
E34003710,Cheltenham BUA,116447,Large Towns,South West,Non-coastal,E30000189,Cheltenham,Majority town and city (Large Towns),Working,Mid deprivation towns,University,Medium,1075,82.3255814,58.3255814,43.25581395,14.3255814,9.209302326,48.55813953,20.37209302,24.9,38.1,34.9,3.724651163,2.140563927
E34003723,Congleton BUA,26178,Medium Towns,North West,Non-coastal,E30000273,Stoke-on-Trent,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Medium,263,85.5513308,56.6539924,39.92395437,17.87072243,11.40684411,50.95057034,22.81368821,21.8,43.9,32.4,3.703422053,2.579924913
E34003741,Rishton BUA,6625,Small Towns,North West,Non-coastal,E30000170,Blackburn,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,83,79.51807229,39.75903614,18.07228916,32.53012048,20.48192771,51.80722892,20.48192771,31,48.8,NA,3.13253012,-4.129847271
E34003742,Todmorden BUA,11690,Small Towns,Yorkshire and The Humber,Non-coastal,E30000029,Halifax,Majority conurbation,Working,Higher deprivation towns,No university,Medium,130,77.69230769,50,34.61538462,19.23076923,11.53846154,36.92307692,14.61538462,29.8,40.5,26.7,3.361538462,-0.606301025
E34003743,Stocksbridge BUA,13069,Small Towns,Yorkshire and The Humber,Non-coastal,E30000261,Sheffield,Majority conurbation,Residential,Mid deprivation towns,No university,Low,153,81.69934641,43.1372549,32.67973856,24.18300654,17.64705882,42.48366013,21.56862745,27.8,41.1,29.8,3.581699346,-0.017333666
E34003749,Shifnal BUA,6240,Small Towns,West Midlands,Non-coastal,E30000278,Telford,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,76,96.05263158,56.57894737,39.47368421,21.05263158,17.10526316,52.63157895,25,21.1,43.4,32.9,3.710526316,3.076387757
E34003750,Twyford (Wokingham) BUA,7533,Small Towns,South East,Non-coastal,E30000256,Reading,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,51,82.35294118,62.74509804,49.01960784,NA,NA,43.1372549,NA,22.6,39.6,NA,3.764705882,4.095622523
E34003756,Spennymoor BUA,17766,Small Towns,North East,Non-coastal,E30000203,Durham and Bishop Auckland,Majority rural,Residential,Higher deprivation towns,No university,Low,204,79.41176471,40.19607843,22.05882353,30.39215686,17.15686275,40.68627451,21.07843137,30,47.3,19.7,3.240196078,-2.615492732
E34003761,Stubbington BUA,24644,Medium Towns,South East,Coastal,E30000254,Portsmouth,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,239,92.88702929,62.34309623,41.84100418,18.41004184,13.38912134,53.9748954,24.26778243,15.6,50.2,33.8,3.845188285,4.055957263
